record,type,true_alarm
a512s,Asystole,0
a631l,Asystole,0
a715l,Asystole,0
a142s,Asystole,1
a385l,Asystole,1
a449l,Asystole,1
b488s,Bradycardia,0
b528s,Bradycardia,0
b706s,Bradycardia,0
b560s,Bradycardia,1
b561l,Bradycardia,1
b764s,Bradycardia,1
t383l,Tachycardia,0
t496s,Tachycardia,0
t504s,Tachycardia,0
t195l,Tachycardia,1
t333l,Tachycardia,1
t412s,Tachycardia,1
f362s,Ventricular_Flutter_Fib,0
f618s,Ventricular_Flutter_Fib,0
f768s,Ventricular_Flutter_Fib,0
f450s,Ventricular_Flutter_Fib,1
f543l,Ventricular_Flutter_Fib,1
f697l,Ventricular_Flutter_Fib,1
v119l,Ventricular_Tachycardia,0
v395l,Ventricular_Tachycardia,0
v548s,Ventricular_Tachycardia,0
v523l,Ventricular_Tachycardia,1
v616s,Ventricular_Tachycardia,1
v638s,Ventricular_Tachycardia,1
